,q_1,q_2,q_3,q_4,q_5,q_6,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_7,q_8
72,Solo il sole (il segno),Non saprei,Quando mi capita,Introspettiva,Ricreativa,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,3,Si,2,2,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Giornali'],['Non ho una passione per le stelle']
73,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Non credo in nulla,2,5,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea Triennale,Centro italia,['Blog specializzati'],['Nessuno']
74,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,2,4,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Giornali'],['Nessuno']
75,Solo il sole (il segno),Non saprei,Mai,Introspettiva,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Sono la stessa cosa con punti di vista differenti,Non credo in nulla,2,4,Si,4,4,Più sicuro,Sono due concetti differenti,A volte,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
76,No,Non saprei,Quando mi capita,Introspettiva,Mistica,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,3,Si,3,2,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,31-50,Laurea Triennale,Nord Italia,['Giornali'],['Nessuno']
77,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Si,3,3,Mi è indifferente,Sono due concetti differenti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
78,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono visioni mutualmente esclusive,Ho una fede religiosa e sono praticante,1,5,Si,2,1,Mi è indifferente,Sono due concetti differenti,Si,Maschile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
79,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Si,2,3,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Diploma scuole medie,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
80,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,4,2,Sono diverse,Credo in una o più entità superiore/i,5,3,Si,2,4,Impotente,Sono due concetti differenti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,['Blog specializzati'],['Le mie amiche']
81,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Non credo in nulla,2,5,Si,4,4,Impotente,Sono due concetti differenti,Non saprei,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
82,No,Sono due cose diverse,Mai,Ricreativa,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Non credo in nulla,1,5,Si,1,2,Non saprei,Non saprei,Dipende,Maschile,18-30,Diploma scuole medie,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
83,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,3,Si,2,4,Impotente,Sono due concetti differenti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,['Blog specializzati'],['Le mie amiche']
84,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,5,Si,4,3,Più sicuro,Sono due concetti differenti,No,Femminile,31-50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
85,Si,Sono due cose diverse,Spesso,Introspettiva,Predittiva del futuro,Fin da piccolo/a,Essere considerata un'importante ma personale visione del mondo,3,2,Sono diverse,Ho una fede religiosa ma non sono praticante,4,2,Si,4,3,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea Triennale,Nord Italia,"['Social network', ' Giornali']",['Le mie amiche']
86,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa e sono praticante,4,4,Si,1,1,Impotente,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
87,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono visioni mutualmente esclusive,Ho una fede religiosa e sono praticante,3,1,Si,3,3,Impotente,Sono concetti differenti a volte sovrapposti,No,Maschile,>50,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
88,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse,Credo in una o più entità superiore/i,2,3,Si,3,2,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Laurea Triennale,Nord Italia,['Social network'],['I miei amici e le mie amiche']
89,Si,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Non hanno nessuna funzione,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Non credo in nulla,2,3,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Studio autonomamente testi del settore'],['Nessuno']
90,Si,Non saprei,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Fin da piccolo/a,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,5,Si,5,5,Non saprei,Ho cercato adesso su google,No,Maschile,>50,Diploma scuola superiore,Nord Italia,['Social network'],['Nessuno']
91,Sole e ascendente,Sono due cose diverse,Quando mi capita,Introspettiva,Predittiva del futuro,In età adulta,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,2,Si,3,3,Impotente,Sono due concetti differenti,No,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Giornali'],['I miei amici e le mie amiche']
92,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,4,Si,2,2,Impotente,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
93,No,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Ricreativa,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,4,3,Si,3,3,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,31-50,Laurea magistrale,Nord Italia,['Nessuna'],['Nessuno']
94,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,2,3,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
95,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,5,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
96,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Predittiva del futuro,In età adolescenziale,Essere considerata come uno svago,2,2,Sono diverse,Non credo in nulla,1,1,No,3,3,Impotente,Sono concetti differenti a volte sovrapposti,Si,Maschile,18-30,Laurea Triennale,Nord Italia,"['Social network', ' Televisione']",['I miei amici e le mie amiche']
97,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,3,5,Si,1,1,Mi è indifferente,Non saprei,Dipende,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
98,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,5,Si,1,1,Impotente,Sono due concetti differenti,A volte,Femminile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
99,Solo il sole (il segno),Sono due cose diverse,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,5,Si,1,1,Impotente,Sono due concetti differenti,No,Femminile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
100,No,Sono due cose diverse,Mai,Mistica,Predittiva del futuro,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,2,2,Si,2,2,Mi è indifferente,Sono due concetti differenti,Non saprei,Maschile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Nessuno']
101,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,5,Si,2,3,Non saprei,Ho cercato adesso su google,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Televisione'],['La mia famiglia']
102,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,4,Si,4,4,Mi è indifferente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network', ' Giornali']","['La mia famiglia', ' I miei amici e le mie amiche']"
103,No,Sono due cose diverse,Quando mi capita,Introspettiva,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,1,5,Si,1,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
104,No,Sono due cose diverse,Mai,Mistica,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,5,Si,1,1,Non saprei,Sono due concetti differenti,No,Femminile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
105,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,3,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,Si,Maschile,>50,Diploma scuola superiore,Sud e Isole,['Nessuna'],['Non ho una passione per le stelle']
106,Solo il sole (il segno),Non saprei,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,2,2,Non saprei,Ho una fede religiosa e sono praticante,3,2,Si,2,2,Non saprei,Non saprei,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
107,Sole e ascendente,Non saprei,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,2,5,Si,2,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea magistrale,Nord Italia,['Blog specializzati'],['I miei amici e le mie amiche']
108,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,3,Si,2,2,Impotente,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
109,No,Condividono aspetti ma non sono la stessa cosa,Mai,Mistica,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono la stessa cosa con punti di vista differenti,Credo in una o più entità superiore/i,3,3,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Nessuno']
110,Si,Sono due cose diverse,Mai,Introspettiva,Mistica,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,2,4,Si,3,4,Più sicuro,Sono due concetti differenti,A volte,Maschile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Giornali']",['Pochi intimi (una persona di fiducia)']
111,Solo il sole (il segno),Sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Non saprei,Non credo in nulla,1,3,Si,2,3,Non saprei,Sono due concetti differenti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,['Televisione'],['Non ho una passione per le stelle']
112,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,1,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,Si,Femminile,>50,Diploma scuola superiore,Sud e Isole,['Nessuna'],['Non ho una passione per le stelle']
113,Sole e ascendente,Non saprei,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,4,4,Si,5,2,Impotente,Sono due concetti differenti,A volte,Femminile,31-50,Phd (above and beyond),Centro italia,['Giornali'],['Non ho una passione per le stelle']
114,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,4,Non saprei,2,2,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,"['Social network', ' Televisione', ' Giornali']",['Non ho una passione per le stelle']
115,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa e sono praticante,3,4,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Televisione'],['Nessuno']
116,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Predittiva del futuro,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Credo in una o più entità superiore/i,2,2,Si,4,4,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Femminile,31-50,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
117,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,3,Si,2,4,Impotente,Non saprei,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
118,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Ricreativa,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,3,Si,3,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network', ' Televisione']",['Non ho una passione per le stelle']
119,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Mistica,Fin da piccolo/a,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,4,3,Si,2,3,Non saprei,Sono due concetti differenti,No,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['La mia famiglia']
120,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,5,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Altro,31-50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
121,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,2,3,No,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['I miei amici e le mie amiche']
122,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Non saprei,Ho una fede religiosa ma non sono praticante,1,1,Si,5,5,Più sicuro,Sono due concetti differenti,Non saprei,Maschile,>50,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
123,Solo il sole (il segno),Sono due cose diverse,Quando mi capita,Non hanno nessuna funzione,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,3,Si,3,5,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
124,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,4,Si,2,2,Non saprei,Sono due concetti differenti,A volte,Femminile,>50,Laurea magistrale,Nord Italia,['Studio autonomamente testi del settore'],['Pochi intimi (una persona di fiducia)']
125,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Predittiva del futuro,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,3,3,Si,2,2,Non saprei,Ho cercato adesso su google,A volte,Femminile,18-30,Diploma scuola superiore,Centro italia,['Social network'],['Non ho una passione per le stelle']
126,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,3,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,4,5,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],"['Le mie amiche', ' I miei amici e le mie amiche']"
127,Sole e ascendente,Non saprei,Spesso,Introspettiva,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,3,Si,3,4,Non saprei,Sono due concetti differenti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,"['Social network', ' Giornali']",['I miei amici e le mie amiche']
128,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Spesso,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,2,2,Sono diverse,Ho una fede religiosa ma non sono praticante,3,5,Si,2,2,Non saprei,Sono due concetti differenti,Dipende,Femminile,>50,Laurea Triennale,Nord Italia,['Televisione'],['Le mie amiche']
129,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,3,Si,4,4,Più sicuro,Non saprei,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
130,No,Sono la stessa cosa,Quando mi capita,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa e sono praticante,1,5,Si,2,3,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
131,Si,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,3,3,Si,3,3,Non saprei,Sono due concetti differenti,A volte,Femminile,31-50,Diploma scuole medie,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
132,Sole e ascendente,Non saprei,Quando mi capita,Mistica,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,4,5,Si,3,3,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Giornali'],['Non ho una passione per le stelle']
133,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata come uno svago,2,1,Sono diverse,Credo in una o più entità superiore/i,1,5,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Nessuno']
134,Sole e ascendente,Sono due cose diverse,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,1,Si,5,5,Mi è indifferente,Sono due concetti differenti,A volte,Maschile,18-30,Laurea magistrale,Centro italia,['Nessuna'],['Non ho una passione per le stelle']
135,Solo il sole (il segno),Sono due cose diverse,Mai,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Non saprei,4,4,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
136,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Mistica,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,3,Si,3,3,Impotente,Sono due concetti differenti,A volte,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
137,Solo il sole (il segno),Non saprei,Mai,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,4,Si,4,4,Più sicuro,Sono due concetti differenti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
138,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Spesso,Mistica,Introspettiva,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,3,3,Sono diverse,Ho una fede religiosa ma non sono praticante,3,3,Si,3,3,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Sud e Isole,['Social network'],['Pochi intimi (una persona di fiducia)']
139,Solo il sole (il segno),Non saprei,Quando mi capita,Introspettiva,Predittiva del futuro,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,4,5,Si,1,1,Non saprei,Non saprei,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network', ' Giornali']",['Le mie amiche']
140,Solo il sole (il segno),Sono due cose diverse,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata come uno svago,1,1,Sono visioni mutualmente esclusive,Ho una fede religiosa ma non sono praticante,2,5,Non saprei,1,1,Impotente,Ho cercato adesso su google,No,Femminile,18-30,Laurea magistrale,Sud e Isole,['Giornali'],['Non ho una passione per le stelle']
141,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Non credo in nulla,5,5,Si,4,3,Più sicuro,Sono sinonimi,No,Femminile,18-30,Laurea Triennale,Nord Italia,"['Social network', ' Televisione', ' Giornali']",['Nessuno']
142,Sole e ascendente,Non saprei,Spesso,Predittiva del futuro,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Non saprei,Non credo in nulla,2,4,Si,2,2,Impotente,Sono due concetti differenti,A volte,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
143,Solo il sole (il segno),Non saprei,Quando mi capita,Ricreativa,Ricreativa,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,3,3,Si,2,3,Mi è indifferente,Non saprei,A volte,Femminile,>50,Diploma scuole medie,Nord Italia,['Televisione'],['Non ho una passione per le stelle']
144,Si,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,3,1,Sono diverse,Ho una fede religiosa e sono praticante,4,3,Si,2,3,Non saprei,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Studio autonomamente testi del settore'],['Pochi intimi (una persona di fiducia)']
145,Sole e ascendente,Non saprei,Quando mi capita,Introspettiva,Ricreativa,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Non credo in nulla,3,4,Si,4,3,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Non ho una passione per le stelle']
